dataset,method,dataset_size,f1,accuracy,tn,fp,fn,tp,strategy,T,pool_size,best_k,time_elapsed,seed,avg_ruleset_len,avg_rule_len
LYMPHOGRAPHY,AqClassifier,0.5,0.7333333333333333,0.6756756756756757,17,12,12,33,bp,1,1,-1,0.9392633438110352,7,12,2.9166666666666665

LYMPHOGRAPHY,AqClassifier,0.5,0.6097560975609757,0.5675675675675675,17,20,12,25,bp,1,1,-1,0.6640353202819824,8,10,2.6

LYMPHOGRAPHY,AqClassifier,0.5,0.7010309278350515,0.6081081081081081,11,26,3,34,bp,1,1,-1,0.8219623565673828,9,14,3.142857142857143

PRIMARY,AqClassifier,0.5,0.64,0.7804878048780488,96,26,10,32,bp,1,1,-1,6.361163139343262,0,15,3.7333333333333334

PRIMARY,AqClassifier,0.5,0.5918367346938775,0.7560975609756098,95,28,12,29,bp,1,1,-1,7.602039098739624,1,19,3.1052631578947367

PRIMARY,AqClassifier,0.5,0.5591397849462365,0.75,97,31,10,26,bp,1,1,-1,7.249459981918335,2,21,3.6666666666666665

PRIMARY,AqClassifier,0.5,0.6122448979591837,0.7682926829268293,96,23,15,30,bp,1,1,-1,7.7053046226501465,3,18,3.7222222222222223

PRIMARY,AqClassifier,0.5,0.5473684210526315,0.7378048780487805,95,33,10,26,bp,1,1,-1,6.765345096588135,4,18,3.7777777777777777

PRIMARY,AqClassifier,0.5,0.627906976744186,0.8048780487804879,105,19,13,27,bp,1,1,-1,7.59709620475769,5,20,3.4

PRIMARY,AqClassifier,0.5,0.5352112676056338,0.7987804878048781,112,17,16,19,bp,1,1,-1,8.437331438064575,6,20,3.4

PRIMARY,AqClassifier,0.5,0.5517241379310345,0.7621951219512195,101,22,17,24,bp,1,1,-1,7.7893195152282715,7,19,3.789473684210526

PRIMARY,AqClassifier,0.5,0.6206896551724138,0.7987804878048781,104,20,13,27,bp,1,1,-1,7.090315818786621,8,18,3.388888888888889

PRIMARY,AqClassifier,0.5,0.6987951807228915,0.8475609756097561,110,15,10,29,bp,1,1,-1,6.936990737915039,9,17,3.6470588235294117

KR-VS-KP,AqClassifier,0.5,0.9132743362831858,0.9080100125156445,677,103,44,774,bp,1,1,-1,1023.3443458080292,0,131,6.977099236641221

KR-VS-KP,AqClassifier,0.5,0.9470622454915648,0.9430538172715894,693,59,32,814,bp,1,1,-1,733.4760382175446,1,93,7.516129032258065

KR-VS-KP,AqClassifier,0.5,0.9301788805539528,0.9242803504380476,671,82,39,806,bp,1,1,-1,692.7368967533112,2,87,6.597701149425287

KR-VS-KP,AqClassifier,0.5,0.9506246281975014,0.9480600750938674,716,55,28,799,bp,1,1,-1,713.3198523521423,3,104,6.75

KR-VS-KP,AqClassifier,0.5,0.9438073394495412,0.9386733416770964,677,70,28,823,bp,1,1,-1,768.079184293747,4,100,6.27

KR-VS-KP,AqClassifier,0.5,0.9387514723203768,0.934918648310388,697,76,28,797,bp,1,1,-1,606.4030685424805,5,87,6.310344827586207

KR-VS-KP,AqClassifier,0.5,0.9109026963657679,0.904881101376721,669,99,53,777,bp,1,1,-1,901.6525363922119,6,122,7.016393442622951

KR-VS-KP,AqClassifier,0.5,0.9437537004144464,0.9405506883604505,706,62,33,797,bp,1,1,-1,703.7412295341492,7,98,8.193877551020408

KR-VS-KP,AqClassifier,0.5,0.9349453080023028,0.9292866082603254,673,77,36,812,bp,1,1,-1,934.4040153026581,8,119,7.815126050420168

KR-VS-KP,AqClassifier,0.5,0.9403341288782816,0.9374217772215269,710,63,37,788,bp,1,1,-1,1025.1306970119476,9,98,6.571428571428571

CAR,FindRsClassifier,0.5,0.9915682967959529,0.9884259259259259,266,3,7,588,bp,1,1,-1,0.18690109252929688,0,16,3.25

CAR,FindRsClassifier,0.5,0.9882943143812709,0.9837962962962963,259,0,14,591,bp,1,1,-1,0.2020397186279297,1,15,3.4

CAR,FindRsClassifier,0.5,0.9898477157360407,0.9861111111111112,267,3,9,585,bp,1,1,-1,0.18199825286865234,2,17,3.5294117647058822

CAR,FindRsClassifier,0.5,0.9909762100082034,0.9872685185185185,249,2,9,604,bp,1,1,-1,0.18400287628173828,3,18,3.7222222222222223

CAR,FindRsClassifier,0.5,0.9927243330638642,0.9895833333333334,241,4,5,614,bp,1,1,-1,0.1968071460723877,4,16,3.125

CAR,FindRsClassifier,0.5,0.9844827586206897,0.9791666666666666,275,1,17,571,bp,1,1,-1,0.19204378128051758,5,16,3.4375

CAR,FindRsClassifier,0.5,0.9893704006541293,0.9849537037037037,246,1,12,605,bp,1,1,-1,0.1809980869293213,6,17,3.588235294117647

CAR,FindRsClassifier,0.5,0.9847972972972973,0.9791666666666666,263,0,18,583,bp,1,1,-1,0.1739640235900879,7,16,3.75

CAR,FindRsClassifier,0.5,0.9905254091300604,0.9872685185185185,278,0,11,575,bp,1,1,-1,0.18603515625,8,15,3.2666666666666666

CAR,FindRsClassifier,0.5,0.9824561403508772,0.9756944444444444,255,4,17,588,bp,1,1,-1,0.2209634780883789,9,14,3.2142857142857144

CAR,FindRsClassifier,0.33,0.9837092731829573,0.9775474956822107,347,7,19,785,bp,1,1,-1,0.095001220703125,0,15,3.2

CAR,FindRsClassifier,0.33,0.985633978763273,0.9801381692573402,346,0,23,789,bp,1,1,-1,0.0960383415222168,1,12,3.0

CAR,FindRsClassifier,0.33,0.986198243412798,0.9810017271157168,350,2,20,786,bp,1,1,-1,0.09896254539489746,2,15,3.4

CAR,FindRsClassifier,0.33,0.9907805777504609,0.9870466321243523,337,1,14,806,bp,1,1,-1,0.10202980041503906,3,16,3.5625

CAR,FindRsClassifier,0.33,0.9897404948702474,0.9853195164075993,321,7,10,820,bp,1,1,-1,0.10500001907348633,4,15,3.066666666666667

CAR,FindRsClassifier,0.33,0.9847715736040609,0.9792746113989638,358,0,24,776,bp,1,1,-1,0.09699702262878418,5,14,3.357142857142857

CAR,FindRsClassifier,0.33,0.9802224969097652,0.9723661485319517,333,7,25,793,bp,1,1,-1,0.09700226783752441,6,14,3.2857142857142856

CAR,FindRsClassifier,0.33,0.9869158878504674,0.9818652849740933,345,2,19,792,bp,1,1,-1,0.0949704647064209,7,14,3.357142857142857

CAR,FindRsClassifier,0.33,0.9804169298799748,0.9732297063903281,351,11,20,776,bp,1,1,-1,0.0919954776763916,8,15,3.3333333333333335

CAR,FindRsClassifier,0.33,0.9850746268656716,0.9792746113989638,342,0,24,792,bp,1,1,-1,0.10004162788391113,9,12,3.0

CAR,FindRsClassifier,0.25,0.9763779527559056,0.9675925925925926,386,18,24,868,bp,1,1,-1,0.07096385955810547,0,14,3.2142857142857144

CAR,FindRsClassifier,0.25,0.9750415973377704,0.9652777777777778,372,8,37,879,bp,1,1,-1,0.06803083419799805,1,11,2.5454545454545454

CAR,FindRsClassifier,0.25,0.9747899159663865,0.9652777777777778,381,13,32,870,bp,1,1,-1,0.06400465965270996,2,14,3.4285714285714284

CAR,FindRsClassifier,0.25,0.9860724233983287,0.9807098765432098,386,0,25,885,bp,1,1,-1,0.09027981758117676,3,15,3.6666666666666665

CAR,FindRsClassifier,0.25,0.9863013698630138,0.9807098765432098,371,2,23,900,bp,1,1,-1,0.07899975776672363,4,14,3.2142857142857144

CAR,FindRsClassifier,0.25,0.9712999437253798,0.9606481481481481,382,12,39,863,bp,1,1,-1,0.08799982070922852,5,14,3.2142857142857144

CAR,FindRsClassifier,0.25,0.9787709497206705,0.970679012345679,382,4,34,876,bp,1,1,-1,0.07203555107116699,6,14,3.4285714285714284

CAR,FindRsClassifier,0.25,0.9731543624161073,0.9629629629629629,378,6,42,870,bp,1,1,-1,0.06500077247619629,7,13,3.4615384615384617

CAR,FindRsClassifier,0.25,0.9759103641456582,0.966820987654321,382,17,26,871,bp,1,1,-1,0.07469606399536133,8,15,3.3333333333333335

CAR,FindRsClassifier,0.25,0.9843575418994414,0.9783950617283951,387,0,28,881,bp,1,1,-1,0.06299519538879395,9,11,2.8181818181818183

TTT,FindRsClassifier,0.5,1.0,1.0,163,0,0,316,bp,1,1,-1,0.10696029663085938,0,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,169,0,0,310,bp,1,1,-1,0.1350398063659668,1,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,168,0,0,311,bp,1,1,-1,0.13200068473815918,2,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,159,0,0,320,bp,1,1,-1,0.12274694442749023,3,8,3.0

TTT,FindRsClassifier,0.5,1.0,1.0,173,0,0,306,bp,1,1,-1,0.1199960708618164,4,8,3.0

